Activity,Toilet_type,ExperimentID,Sequence_length,Location_transitions,Unique_surfaces,Has_handwashing,Personal_items_touched
MHM,Gender neutral,HJZHQ0810H,32,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,11,True,10
MHM,Gender neutral,BHDEJ9157M,27,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Entry,14,True,11
MHM,Gender neutral,LLVHY6671F,29,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,12,True,12
MHM,Gender neutral,OZEOC2061L,26,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,13,True,13
MHM,Gender neutral,CMXRD5829M,26,Entry->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,12,True,9
MHM,Women,RTIHL2258R,17,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Entry,10,True,6
MHM,Women,UBTTQ3458J,30,Entry->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Entry,15,True,17
MHM,Women,NJKKJ2731E,23,Hygiene->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Entry,12,True,7
MHM,Women,UEJEG5402G,26,Entry->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,15,True,15
MHM,Women,VPKLO6035P,31,Entry->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,14,True,13
MHM,Women,KIUPK2807W,19,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Entry,10,True,8
MHM,Women,HTGKD6878C,27,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,15,True,13
MHM,Women,PQUXS6985E,30,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,16,True,17
MHM,Women,XUWWJ9414C,28,Entry->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,13,True,16
MHM,Women,TYWCV0135F,25,Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Entry,14,True,15
MHM,Women,VLSNK1324U,23,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,14,True,11
Urination,Gender neutral,DOOOL9042O,14,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,9,True,5
Urination,Gender neutral,RSMNG6740F,16,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,10,True,4
Urination,Gender neutral,DDSBC9369M,15,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,9,True,6
Urination,Gender neutral,LELLB2209X,18,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,10,True,5
Urination,Gender neutral,JUZBZ2523D,23,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,13,True,7
Urination,Gender neutral,SAGKZ1459N,20,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Cubicle,11,True,8
Urination,Gender neutral,RVQPA5255X,14,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,10,True,5
Urination,Gender neutral,WFMPP0425B,30,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Entry,13,True,14
Urination,Gender neutral,JLKTZ7475M,23,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,11,True,12
Urination,Gender neutral,QPQGY6516P,22,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,12,True,8
Urination,Gender neutral,MZKSN3800V,21,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,9,True,9
Urination,Gender neutral,KEXNQ0817S,23,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,11,True,8
Urination,Gender neutral,ZIASC8807S,15,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Entry,10,True,4
Urination,Gender neutral,SXNZK2286Y,15,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,10,True,4
Urination,Gender neutral,DINUO0423U,24,Entry->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,10,True,4
Urination,Gender neutral,MWZMQ2971G,15,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,10,True,4
Urination,Gender neutral,DGZNB8100H,19,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,11,True,6
Urination,Gender neutral,OFIDX8283D,13,Entry->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Cubicle -> Cubicle->Entry,8,True,4
Urination,Gender neutral,PQNXE9910C,14,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,10,True,4
Urination,Men,WWKSI8921X,10,Entry->Personal -> Personal->Hygiene -> Hygiene->Entry,6,True,3
Urination,Men,YFCSC9838V,11,Entry->Personal -> Personal->Hygiene -> Hygiene->Entry,6,True,3
Urination,Men,GVAAY6962U,9,Entry->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Entry,5,True,4
Urination,Men,MKJLK1002K,8,Entry->Personal -> Personal->Hygiene -> Hygiene->Entry,6,True,3
Urination,Men,RGVRJ4816I,12,Entry->Personal -> Personal->Hygiene -> Hygiene->Entry,6,True,3
Urination,Men,SAZVN4801R,8,Entry->Personal -> Personal->Hygiene -> Hygiene->Entry,6,True,4
Urination,Men,OITXE1951B,11,Entry->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Entry,7,True,4
Urination,Men,OTTXE1060Z,13,Entry->Personal -> Personal->Entry -> Entry->Hygiene -> Hygiene->Entry,6,True,3
Urination,Men,ISXGU1494Q,14,Entry->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Entry,8,True,4
Urination,Men,BCMZI8747F,12,Entry->Personal -> Personal->Hygiene -> Hygiene->Cubicle -> Cubicle->Personal -> Personal->Entry,8,True,6
Urination,Men,PFKMS2902T,10,Entry->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Entry,6,True,4
Urination,Men,BHJSA2848E,8,Entry->Personal -> Personal->Hygiene -> Hygiene->Entry,5,True,3
Urination,Women,YPPXM4223O,17,Entry->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,11,True,5
Urination,Women,MXKYM6897V,16,Entry->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,10,True,6
Urination,Women,NZFQO4331M,20,Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Entry,11,True,6
Urination,Women,PHLRV8051T,23,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,13,True,11
Urination,Women,ATQPH0145Q,30,Entry->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,14,True,11
Urination,Women,AHHKT1356Y,17,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,11,True,4
Urination,Women,YFNWG7094E,18,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,12,True,6
Urination,Women,DYCUZ2706F,20,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,14,True,6
Urination,Women,LCIQS0997I,28,Entry->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Entry,14,True,11
Urination,Women,FMEPE1878R,14,Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Hygiene -> Hygiene->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Entry,11,True,6
Urination,Women,XQNZM6081Y,18,Entry->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Cubicle -> Cubicle->Personal -> Personal->Hygiene -> Hygiene->Personal -> Personal->Entry,12,True,8
